Address,Latitude,Longitude,Deaths
"JALPAIGURI,Teesta Bridge, Paharpur to Assam More Talmahat, Kotwali PS, Teesta Bridge to Talmahat 20 Kms.",26.5730056,88.7253393,3
"NADIA,Katwa More, Kaliganj PS, Vagachandpur more to Radhakantapur more 6 Kms.",23.732371,88.2290783,2
"NADIA,Chakdah Chowrastha More, Chakdah, Kalagachha to Chakdah Chowrastha
more 3 Kms.",23.0765247,88.5293319,1
"COOCHBEHAR,Khagrabari Morh, Kotwali PS, Khagrabari chowpathi to Girijabari more 1 Km.",26.3238808,89.4508879,2
"MURSHIDABAD,Barua Crossing, Beldanga PS, Pratirodhi Club to Beldanga Hut 200 Mtrs.",23.940575,88.2339475,5
"HOOGHLY,F.C.I. Crossing, Dankuni PS, Dankuni more to Maitypara 1 1/2
Kms.",22.6866849,88.2957914,5
"NORTH 24-PGS,Doltala Xing, Barasat PS, Sahara Bridge to Madhyamgram 1 1/2 Kms.",22.682505,88.460429,0
"NORTH 24-PGS,Duk-Bunglow More xing, Barasat PS, Rathtala to Dukbanglow more 1/2 Km.",22.7179883,88.4801412,2
"NORTH 24-PGS,Champadali more, Barasat PS, Sethpukur more to Fish Market more 1/2 Kms.",22.7207451,88.4857941,3
"U/DINAJPUR,Purnia more, Karandighi PS, Dalkhola to Purnia more 2 Kms.",25.8154104,87.9191235,0
"BURDWAN,Burdwan (S) Palh, Sreerampur more, Burdwan (s) PS, Nababhut to DVC more 3 Kms.",23.2324419,87.8614871,4
"BURDWAN,Khana Junction more, Galsi PS, Surul more to Kulgeria Sako 3 Kms.",23.3215406,87.7689551,4
"BURDWAN,Panagar Bazar, Kanksa PS, Railover bridge to Darjeeling more 3.2 Kms.",23.4535672,87.4475145,7
"HOWRAH RURAL,Dhulagarh Xing, Sankrail PS, New korola to Dhulagarh Toll Plazza 200 Mts.",22.5338628,88.2290341,5
"HOWRAH RURAL,Ankurhati Xing, Domjur PS, Prasastha to Ankurhati Anchal 1 Km.",22.6338424,88.2209743,7
"PURBA MEDINIPUR,Deaulia Bazar, Kolaghat PS, Borda more to Haldia more 1 1/2 Kms.",22.4370901,87.8397623,4
"PURBA MEDINIPUR,Kanchi, Nandakumar PS,
Hatgeria to Bankrabandh 1
1/2 Kms.",21.9372879,87.7763333,4
